iteration_03_D19yFwUGNJhbSOEW2duM0ui6YII3,3
iteration_03_rPBwrd04gBQbKtYRDrhJYLlRFe33,4
iteration_03_ijiZnSsZ38VzAMdwSeqEvRSP9Mn2,1
iteration_04_FjAOqvFmWUdm2tDfk7PUXPf33CH3,6
iteration_04_s3IpVEvxi8U17uJZXQHDGQV4SiF2,2
iteration_06_RydY89HJlyLzeNOrmcjn1ub6j6g1,0
iteration_06_LWcSrXZFVZOInPb8jlIjEZSCkdv1,2
iteration_06_ibWYuw58sJQjJ7D1MkfRwla4sri1,5
iteration_07_lxDA1xS7vOe0BpLCtFzDIYiGGZ52,1
iteration_02_pmsBIM9OSvRNH9NEn4eSoOEx4b73,3
iteration_06_ou9yFAPtAzV0mtnuquyflipf5iQ2,4
iteration_05_MpUE7D05ybS4objMMB3mwPa2kPC3,6
iteration_06_1F9p9TOfy7dvEUMj2x1Yj6SFn7C3,0
iteration_01_1x6a3F7pIzd7B7BdZePh7Z0WC4A3,0
iteration_07_iN3JLqgOsEbyj9KuHeo7LYJQsw42,3
iteration_06_NlwnRZ1tSTXnPa0tBhbgmeq51TR2,2
iteration_05_ni15qAL6jKbjmg7EfmURuzml9mp1,6
iteration_04_vNtnsU0aczaJUsyT44BwXOOXMnD3,4
iteration_04_BB72UjTC15ZYShGdlnkasuU1hRm1,1
iteration_05_PQ1ebCaFwRQUi2J96jWGLG2NFr63,5
iteration_03_XfuetknJVnQ1hZcBGNlrfeGB1823,0
iteration_03_zTnM3hGJLLMxk06bZaKpivnDQN63,4
iteration_02_4IBe0IfsPHbbFhL4zvTkU2vSsCG2,2
iteration_07_Rttv2sfQ01M4N138fuRQRDotKiA2,3
iteration_05_t36JsYyOOOZBYiSblZ0Ol6B3W273,5
iteration_05_QxsTCw8t2VdlluDACws52AlPIDF3,6
iteration_05_6t6TTSYMybZDt2zbxLCMQvyLFdm2,1
iteration_02_OcqFlvx3A9YcCWkwROaBySU95HI2,6
iteration_03_nyhUXXi0IZXNxznwoDbabCwvHF53,5
iteration_06_sIIYD0AgTAYZB8gPiR6cJigHxvC3,0
iteration_04_2VaupA1XhdeElSqKXSxzGQljhT02,4
iteration_07_TLarsMPy1fPhL5KPps8a7D9ee9K2,2
iteration_03_UxG1iktUAoPonFULajPCuDfXkpQ2,3
iteration_06_bymVumJaGZaiLvw8xolKfE6L6Cp1,1
iteration_02_9lsiyjS1FrXNnl3tC9H96zRDQUp1,6
iteration_05_9yfwd4MaQLh6mo6yY98j37LFXug1,2
iteration_02_QjwJcn2WrHV1mBhUGcWXDF5PCPj1,3
iteration_01_801zUkH1McS5cZZQu7HYz7v127d2,4
iteration_07_FMuQkV8cibQMuRHIEGqBE0ME68p2,1
iteration_05_sEEZ0fN2hVcDWjR1o5a68hA6wXK2,0
iteration_01_y9W2PgwUvmbhU1c1fNNzTuukNlu2,5
iteration_05_67Z0UERZwNO5rXru4gBpsBWscJj2,4
iteration_05_m1TwAOaR1ibKu2Zy6O9xB845HuK2,0
iteration_07_CrnkUjRAp4VIZfrmcjSATt8RuKl1,5
iteration_03_LHKg8hxjyAUN1wEncotbXWCu0aT2,3
iteration_03_Rw6az4bkHKg9cXY6pMIOtdLpSb33,2
iteration_06_xf1zW4T5iSVE6d5KmUtw6z4RDGv2,1
iteration_02_MjPfqWMBX3b5cSpKp3OQXyWHk1G2,6
iteration_07_4uF8jaUO6nVOs6RPovkIwGw53qD2,1
iteration_07_rf3XDediG6heKJOwfTNmBsr4mzo1,5
iteration_05_6SbXNCMDl3SyB97ZG0eQEnH5nI82,2
iteration_01_iNw4th3tQSZLdGtF1DzMjxn3TV82,3
iteration_03_yLMtxaV799N9rVWUyYnOWqk0oj43,6
iteration_01_8w78a4X34RPmPpxxL0vncyDPXvt2,4
iteration_03_1WXmlPK6mfVkqYXlsNJvxKkw37C3,0
iteration_06_7goyqYxVhYefV1YMHaWSCJkGhop1,4
iteration_05_kEmZ7kXi8YPGbMNRy0xML2ie1rv2,2
iteration_07_nnxrWdIlzOS4hvtQ8g59Vym9Dtx1,3
iteration_06_YENLTLbLANYpTBmrpfFDfGnzk962,1
iteration_03_S4nt4QdLb5ZowCrttES2GS1V2W93,5
